Title,Source,URL,Published At,Description
Nio’s Deliveries Doubled In June. Why Is The Stock Still Lagging?,Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/03/nios-deliveries-doubled-in-june-why-is-the-stock-still-lagging/,2024-07-03T11:00:00Z,"Chinese luxury electric vehicle maker Nio stock, has declined by about 47% year-to-date. This compares to rival Xpeng stock which is down by 29% over the same period."
"BNY Mellon Stock Is Up 16% YTD, What To Expect From Q2 Results?",Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/11/bny-mellon-stock-is-up-16-ytd-what-to-expect-from-q2-results/,2024-07-11T12:00:26Z,"BNY Mellon (NYSE: BK) stock gained 16% YTD, as compared to the 17% rise in the S&P500 index. In sharp contrast, BNY Mellon’s peer BlackRock (NYSE: BLK) has.."
"Intercontinental Exchange Stock Gained 15% YTD, What’s Next?",Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/15/intercontinental-exchange-stock-gained-15-ytd-whats-next/,2024-07-15T10:00:00Z,"Intercontinental Exchange’s stock (NYSE: ICE) has gained roughly 15% YTD, as compared to the 17% rise in the S&P500 over the same period."
"Discover Financial Stock Topped The Estimates In Q2, Where Is It Headed?",Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/22/discover-financial-stock-topped-the-estimates-in-q2-where-is-it-headed/,2024-07-22T11:15:00Z,"Discover Financial stock (NYSE: DFS) has gained 26% YTD, as compared to the 17% rise in the S&P500 over the same period. In sharp contrast, Discover Financial’s peer.."
"American Express Stock Is Up 33% YTD, What To Expect From Q2 Earnings?",Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/18/american-express-stock-is-up-33-ytd-what-to-expect-from-q2-earnings/,2024-07-18T10:00:00Z,"American Express (NYSE: AXP) stock gained 33% YTD, as compared to the 19% rise in the S&P500 index. In sharp contrast, American Express’ peer Capital One (NYSE: COF).."
"Net Interest Income Down 9% In Q2, What To Expect From Wells Fargo Stock?",Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/17/net-interest-income-down-9-in-q2-what-to-expect-from-wells-fargo-stock/,2024-07-17T11:15:00Z,"Wells Fargo’s stock (NYSE: WFC) has lost 17% YTD, as compared to the 18% rise in the S&P500 index over the same period. In sharp contrast, Wells Fargo’s peer.."
"Down 50% This Year, Will Improving Deliveries Drive Li Auto Stock Higher?",Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/03/down-50-this-year-will-improving-deliveries-drive-li-auto-stock-higher/,2024-07-03T10:00:00Z,"Things appear to be getting better in the Chinese luxury electric vehicle market. Li Auto  , which is the largest of the emerging EV players in China, delivered 47,774 vehicles for June 2024, an increase of 46.7% compared to last year."
A Monthly Look At Big Tech,Forbes,https://www.forbes.com/sites/tomaspray/2024/06/30/a-monthly-look-at-big-tech/,2024-06-30T22:14:37Z,What will big tech do in the 2nd half of the year? The Viper Report’s Tom Aspray shares his unique monthly analysis that guides his outlook.
Toyota Has Finally Hit The Accelerator On Its EV Journey,Benzinga,https://www.benzinga.com/markets/penny-stocks/24/07/39671005/toyota-has-finally-hit-the-accelerator-on-its-ev-journey,2024-07-08T18:38:45Z,"Last week, Toyota Motor (NYSE: TM) revelaed its second quarter deliveries, joining Tesla Inc (NASDAQ: TSLA), General Motors (NYSE: GM) and Ford Motor (NYSE:"
"MU, INTU, DDOG: Which Tech Stock Is the Best Buy on Weakness?",Yahoo Entertainment,https://finance.yahoo.com/news/mu-intu-ddog-tech-stock-034527455.html,2024-07-26T03:45:27Z,"The tech sector sold off chaotically on Wednesday, the day after Alphabet (GOOGL) and Tesla (TSLA) reported quarters that, while not abysmal, were far from..."
"Dow Jones Futures Rise Ahead Of Powell Testimony; Netflix, Nvidia Get Price-Target Hikes",Investor's Business Daily,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-netflix-nvidia-stock-nvda/,2024-07-09T12:15:00Z,Netflix and Nvidia rise on price-target hikes on the stock market today.
Dow Jones Futures Rise On Jobs Report; Tesla Continues To Rally,Investor's Business Daily,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-jobs-report-tesla-stock-tsla/,2024-07-05T13:02:37Z,"Tesla continues to rally Friday, looking to make it eight straight up days."
Dow Jones Futures Fall After Cool CPI Report; Delta Dives On Earnings,Investor's Business Daily,https://www.investors.com/market-trend/stock-market-today/dow-jones-sp500-nasdaq-cpi-delta-dal-stock/,2024-07-11T12:58:45Z,Delta Air Lines and PepsiCo are key earnings movers.
F-150 Sales Surge Will Drive Ford’s Q2 Earnings,Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/10/f-150-sales-surge-will-drive-fords-q2-earnings/,2024-07-10T09:00:17Z,"Ford stock is expected to publish its Q2 2024 earnings in the next few weeks, reporting on a quarter that is likely to see the company’s sales cool off a bit, amid easing"
"With Its Stock Down 48% This Year, What’s Happening With Xpeng Stock?",Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/05/with-its-stock-down-48-this-year-whats-happening-with-xpeng-stock/,2024-07-05T11:00:11Z,"Chinese luxury EV maker Xpeng deliveries for June rose by 24% year-over-year to 10,688 units."
"Up 33% This Year, Would A Change In Washington Derail First Solar Stock’s Rally?",Forbes,https://www.forbes.com/sites/greatspeculations/2024/07/12/up-33-this-year-would-a-change-in-washington-derail-first-solar-stocks-rally/,2024-07-12T10:00:00Z,"First Solar stock has had a solid year, rising by about 33% year-to-date. In comparison, Enphase Energy stock, another solar component player, has seen its stock.."
